region	year	Population
0114 Upplands Väsby	2019	46786
0115 Vallentuna	2019	34090
0117 Österåker	2019	45574
0120 Värmdö	2019	45000
0123 Järfälla	2019	79990
0125 Ekerö	2019	28690
0126 Huddinge	2019	112848
0127 Botkyrka	2019	94606
0128 Salem	2019	16750
0136 Haninge	2019	92095
0138 Tyresö	2019	48333
0139 Upplands-Bro	2019	29346
0140 Nykvarn	2019	11014
0160 Täby	2019	71874
0162 Danderyd	2019	32857
0163 Sollentuna	2019	73857
0180 Stockholm	2019	974073
0181 Södertälje	2019	98979
0182 Nacka	2019	105189
0183 Sundbyberg	2019	52414
0184 Solna	2019	82429
0186 Lidingö	2019	48123
0187 Vaxholm	2019	12003
0188 Norrtälje	2019	62622
0191 Sigtuna	2019	48964
0192 Nynäshamn	2019	28575
0305 Håbo	2019	21934
0319 Älvkarleby	2019	9457
0330 Knivsta	2019	18835
0331 Heby	2019	14047
0360 Tierp	2019	21136
0380 Uppsala	2019	230767
0381 Enköping	2019	45287
0382 Östhammar	2019	22250
0428 Vingåker	2019	9111
0461 Gnesta	2019	11365
0480 Nyköping	2019	56591
0481 Oxelösund	2019	11983
0482 Flen	2019	16585
0483 Katrineholm	2019	34755
0484 Eskilstuna	2019	106859
0486 Strängnäs	2019	36544
0488 Trosa	2019	13747
0509 Ödeshög	2019	5337
0512 Ydre	2019	3747
0513 Kinda	2019	9940
0560 Boxholm	2019	5476
0561 Åtvidaberg	2019	11503
0562 Finspång	2019	21912
0563 Valdemarsvik	2019	7873
0580 Linköping	2019	163051
0581 Norrköping	2019	143171
0582 Söderköping	2019	14626
0583 Motala	2019	43673
0584 Vadstena	2019	7428
0586 Mjölby	2019	27758
0604 Aneby	2019	6848
0617 Gnosjö	2019	9712
0642 Mullsjö	2019	7290
0643 Habo	2019	12433
0662 Gislaved	2019	29963
0665 Vaggeryd	2019	14275
0680 Jönköping	2019	141081
0682 Nässjö	2019	31538
0683 Värnamo	2019	34560
0684 Sävsjö	2019	11677
0685 Vetlanda	2019	27466
0686 Eksjö	2019	17753
0687 Tranås	2019	19003
0760 Uppvidinge	2019	9588
0761 Lessebo	2019	8733
0763 Tingsryd	2019	12393
0764 Alvesta	2019	20134
0765 Älmhult	2019	17651
0767 Markaryd	2019	10320
0780 Växjö	2019	94129
0781 Ljungby	2019	28521
0821 Högsby	2019	5921
0834 Torsås	2019	7125
0840 Mörbylånga	2019	15249
0860 Hultsfred	2019	14224
0861 Mönsterås	2019	13430
0862 Emmaboda	2019	9445
0880 Kalmar	2019	69467
0881 Nybro	2019	20318
0882 Oskarshamn	2019	27102
0883 Västervik	2019	36679
0884 Vimmerby	2019	15647
0885 Borgholm	2019	10839
0980 Gotland	2019	59686
1060 Olofström	2019	13426
1080 Karlskrona	2019	66622
1081 Ronneby	2019	29633
1082 Karlshamn	2019	32473
1083 Sölvesborg	2019	17452
1214 Svalöv	2019	14268
1230 Staffanstorp	2019	25396
1231 Burlöv	2019	19112
1233 Vellinge	2019	36628
1256 Östra Göinge	2019	15007
1257 Örkelljunga	2019	10280
1260 Bjuv	2019	15715
1261 Kävlinge	2019	31705
1262 Lomma	2019	24834
1263 Svedala	2019	22229
1264 Skurup	2019	15889
1265 Sjöbo	2019	19226
1266 Hörby	2019	15631
1267 Höör	2019	16713
1270 Tomelilla	2019	13617
1272 Bromölla	2019	12870
1273 Osby	2019	13208
1275 Perstorp	2019	7492
1276 Klippan	2019	17756
1277 Åstorp	2019	15940
1278 Båstad	2019	15128
1280 Malmö	2019	344166
1281 Lund	2019	124935
1282 Landskrona	2019	46090
1283 Helsingborg	2019	147734
1284 Höganäs	2019	26942
1285 Eslöv	2019	33793
1286 Ystad	2019	30541
1287 Trelleborg	2019	45440
1290 Kristianstad	2019	85747
1291 Simrishamn	2019	19174
1292 Ängelholm	2019	42476
1293 Hässleholm	2019	52145
1315 Hylte	2019	10815
1380 Halmstad	2019	102767
1381 Laholm	2019	25903
1382 Falkenberg	2019	45367
1383 Varberg	2019	64601
1384 Kungsbacka	2019	84395
1401 Härryda	2019	37977
1402 Partille	2019	39289
1407 Öckerö	2019	12916
1415 Stenungsund	2019	26777
1419 Tjörn	2019	16016
1421 Orust	2019	15218
1427 Sotenäs	2019	9061
1430 Munkedal	2019	10513
1435 Tanum	2019	12841
1438 Dals-Ed	2019	4813
1439 Färgelanda	2019	6637
1440 Ale	2019	31402
1441 Lerum	2019	42568
1442 Vårgårda	2019	11810
1443 Bollebygd	2019	9495
1444 Grästorp	2019	5693
1445 Essunga	2019	5654
1446 Karlsborg	2019	6940
1447 Gullspång	2019	5280
1452 Tranemo	2019	11936
1460 Bengtsfors	2019	9750
1461 Mellerud	2019	9310
1462 Lilla Edet	2019	14109
1463 Mark	2019	34754
1465 Svenljunga	2019	10780
1466 Herrljunga	2019	9464
1470 Vara	2019	16024
1471 Götene	2019	13207
1472 Tibro	2019	11240
1473 Töreboda	2019	9293
1480 Göteborg	2019	579281
1481 Mölndal	2019	69364
1482 Kungälv	2019	46336
1484 Lysekil	2019	14555
1485 Uddevalla	2019	56703
1486 Strömstad	2019	13218
1487 Vänersborg	2019	39591
1488 Trollhättan	2019	59058
1489 Alingsås	2019	41420
1490 Borås	2019	113179
1491 Ulricehamn	2019	24668
1492 Åmål	2019	12610
1493 Mariestad	2019	24537
1494 Lidköping	2019	40089
1495 Skara	2019	18837
1496 Skövde	2019	56366
1497 Hjo	2019	9210
1498 Tidaholm	2019	12846
1499 Falköping	2019	33246
1715 Kil	2019	12087
1730 Eda	2019	8564
1737 Torsby	2019	11616
1760 Storfors	2019	4014
1761 Hammarö	2019	16568
1762 Munkfors	2019	3740
1763 Forshaga	2019	11499
1764 Grums	2019	9047
1765 Årjäng	2019	10070
1766 Sunne	2019	13306
1780 Karlstad	2019	93898
1781 Kristinehamn	2019	24255
1782 Filipstad	2019	10644
1783 Hagfors	2019	11606
1784 Arvika	2019	26045
1785 Säffle	2019	15455
