country,postal_code,municipality,latitude,longitude,population,year
swe,1440,Ale,57.841175,12.0292491,31402,2019
swe,1489,Alingsås,57.9300205,12.5362113,41420,2019
swe,765,Älmhult,56.5524461,14.1374047,17651,2019
swe,2039,Älvdalen,61.227306,14.0419871,7031,2019
swe,764,Alvesta,56.8992104,14.5560006,20134,2019
swe,319,Älvkarleby,60.5686067,17.4489129,9457,2019
swe,2560,Älvsbyn,65.6771363,20.9928658,8066,2019
swe,1492,Åmål,58.994944,12.463962,12610,2019
swe,604,Aneby,57.838521,14.8178022,6848,2019
swe,2260,Ånge,62.5228738,15.6589419,9316,2019
swe,1292,Ängelholm,56.245748,12.8638809,42476,2019
swe,1984,Arboga,59.3936883,15.8381748,14087,2019
swe,2321,Åre,60.128161,18.643501,11727,2019
swe,1765,Årjäng,59.3891592,12.132717,10070,2019
swe,2506,Arjeplog,66.0515051,17.8900542,2785,2019
swe,2505,Arvidsjaur,65.5920768,19.1802828,6220,2019
swe,1784,Arvika,59.6548534,12.592136,26045,2019
swe,2463,Åsele,64.1602339,17.3536149,2794,2019
swe,1882,Askersund,58.8894268,14.9109867,11377,2019
swe,1277,Åstorp,56.134262,12.945908,15940,2019
swe,561,Åtvidaberg,58.2007895,15.9976985,11503,2019
swe,2084,Avesta,60.14533,16.1738399,23178,2019
swe,1278,Båstad,56.4273888,12.8477217,15128,2019
swe,1460,Bengtsfors,59.028612,12.226943,9750,2019
swe,2326,Berg,62.923938,14.518695,7061,2019
swe,2403,Bjurholm,63.964237,18.979487,2408,2019
swe,1260,Bjuv,56.0871019,12.9125048,15715,2019
swe,2582,Boden,65.8251188,21.6887028,28080,2019
swe,1443,Bollebygd,57.6689691,12.5701433,9495,2019
swe,2183,Bollnäs,61.3483795,16.3942685,26888,2019
swe,1490,Borås,57.721035,12.939819,113179,2019
swe,885,Borgholm,56.8802297,16.6562355,10839,2019
swe,2081,Borlänge,60.484304,15.433969,52590,2019
swe,127,Botkyrka,59.1448381,17.8406582,94606,2019
swe,560,Boxholm,58.1970987,15.0537794,5476,2019
swe,2305,Bräcke,62.752127,15.41987,6298,2019
swe,1272,Bromölla,56.0743618,14.477659,12870,2019
swe,1231,Burlöv,55.6319129,13.096379,19112,2019
swe,1438,Dals-Ed,58.9743879,11.8651749,4813,2019
swe,162,Danderyd,59.4058934,18.0258329,32857,2019
swe,1862,Degerfors,59.2391027,14.4339179,9666,2019
swe,2425,Dorotea,64.2617939,16.4152338,2551,2019
swe,1730,Eda,59.7924965,12.1107408,8564,2019
swe,125,Ekerö,59.359052,17.6694942,28690,2019
swe,686,Eksjö,57.6651652,14.9732214,17753,2019
swe,862,Emmaboda,56.6306855,15.540006,9445,2019
swe,381,Enköping,58.410807,15.6213728,45287,2019
swe,484,Eskilstuna,59.3712486,16.5098046,106859,2019
swe,1285,Eslöv,55.8391198,13.3033914,33793,2019
swe,1445,Essunga,58.1677312,12.7589933,5654,2019
swe,1982,Fagersta,59.989144,15.8166418,13391,2019
swe,1382,Falkenberg,56.9027333,12.4888013,45367,2019
swe,1499,Falköping,58.175029,13.553217,33246,2019
swe,2080,Falun,60.60646,15.6355,59406,2019
swe,1439,Färgelanda,58.567559,11.994926,6637,2019
swe,1782,Filipstad,59.7139973,14.1698445,10644,2019
swe,562,Finspång,58.7074884,15.773595,21912,2019
